"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 20 03:24:42 UTC 2023","Wed Sep 20 03:24:44 UTC 2023","1810","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Sep 20 02:20:42 UTC 2023","Wed Sep 20 02:21:07 UTC 2023","25589","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Wed Sep 20 04:37:47 UTC 2023","Wed Sep 20 04:37:48 UTC 2023","1187","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Sep 20 04:17:58 UTC 2023","Wed Sep 20 04:18:07 UTC 2023","9643","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Sep 20 03:24:10 UTC 2023","Wed Sep 20 03:24:22 UTC 2023","12532","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Sep 20 02:28:57 UTC 2023","Wed Sep 20 02:28:57 UTC 2023","376","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Sep 20 04:47:01 UTC 2023","Wed Sep 20 04:48:02 UTC 2023","61029","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Sep 20 02:34:22 UTC 2023","Wed Sep 20 02:34:24 UTC 2023","2117","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Sep 20 04:17:35 UTC 2023","Wed Sep 20 04:17:38 UTC 2023","2341","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Sep 20 04:18:08 UTC 2023","Wed Sep 20 04:18:10 UTC 2023","2116","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Sep 20 04:55:53 UTC 2023","Wed Sep 20 04:55:54 UTC 2023","1378","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Sep 20 04:55:35 UTC 2023","Wed Sep 20 04:55:50 UTC 2023","15349","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Sep 20 04:37:35 UTC 2023","Wed Sep 20 04:37:44 UTC 2023","8658","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Sep 20 03:23:37 UTC 2023","Wed Sep 20 03:23:58 UTC 2023","21669","","6. Company Account","","","","1. Validate login credentials",""
"passed","Wed Sep 20 04:01:22 UTC 2023","Wed Sep 20 04:01:24 UTC 2023","2320","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Sep 20 04:27:16 UTC 2023","Wed Sep 20 04:27:35 UTC 2023","18525","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Sep 20 04:27:35 UTC 2023","Wed Sep 20 04:31:52 UTC 2023","256977","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Sep 20 03:21:26 UTC 2023","Wed Sep 20 03:21:27 UTC 2023","544","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Sep 20 04:46:07 UTC 2023","Wed Sep 20 04:46:16 UTC 2023","9148","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Sep 20 04:04:30 UTC 2023","Wed Sep 20 04:04:36 UTC 2023","6404","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Sep 20 02:19:34 UTC 2023","Wed Sep 20 02:20:00 UTC 2023","25513","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Sep 20 03:29:38 UTC 2023","Wed Sep 20 03:30:13 UTC 2023","34548","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Sep 20 02:20:09 UTC 2023","Wed Sep 20 02:20:33 UTC 2023","23543","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Sep 20 03:20:24 UTC 2023","Wed Sep 20 03:20:38 UTC 2023","13948","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Sep 20 04:37:13 UTC 2023","Wed Sep 20 04:37:29 UTC 2023","16370","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Sep 20 03:19:54 UTC 2023","Wed Sep 20 03:20:12 UTC 2023","17912","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 20 03:57:49 UTC 2023","Wed Sep 20 03:58:00 UTC 2023","11242","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Sep 20 04:55:51 UTC 2023","Wed Sep 20 04:55:53 UTC 2023","2232","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Sep 20 04:04:36 UTC 2023","Wed Sep 20 04:04:38 UTC 2023","2113","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Sep 20 04:37:48 UTC 2023","Wed Sep 20 04:37:49 UTC 2023","1001","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Sep 20 03:24:53 UTC 2023","Wed Sep 20 03:24:56 UTC 2023","2468","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Sep 20 02:22:41 UTC 2023","Wed Sep 20 02:22:45 UTC 2023","4481","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Sep 20 04:39:52 UTC 2023","Wed Sep 20 04:40:05 UTC 2023","12321","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Wed Sep 20 04:10:00 UTC 2023","Wed Sep 20 04:10:03 UTC 2023","2160","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Sep 20 03:20:38 UTC 2023","Wed Sep 20 03:20:42 UTC 2023","4598","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Sep 20 02:26:22 UTC 2023","Wed Sep 20 02:26:45 UTC 2023","23174","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 20 04:37:35 UTC 2023","Wed Sep 20 04:37:35 UTC 2023","504","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Sep 20 04:35:09 UTC 2023","Wed Sep 20 04:35:12 UTC 2023","2565","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Sep 20 04:01:25 UTC 2023","Wed Sep 20 04:01:45 UTC 2023","20237","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Sep 20 04:46:16 UTC 2023","Wed Sep 20 04:46:19 UTC 2023","2972","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Wed Sep 20 04:17:26 UTC 2023","Wed Sep 20 04:17:29 UTC 2023","2597","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Sep 20 04:09:46 UTC 2023","Wed Sep 20 04:10:00 UTC 2023","14405","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Sep 20 02:22:21 UTC 2023","Wed Sep 20 02:22:41 UTC 2023","19401","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Sep 20 04:55:54 UTC 2023","Wed Sep 20 04:56:04 UTC 2023","9498","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed Sep 20 02:28:52 UTC 2023","Wed Sep 20 02:28:57 UTC 2023","4290","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Sep 20 02:29:05 UTC 2023","Wed Sep 20 02:29:06 UTC 2023","858","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"broken","Wed Sep 20 03:52:13 UTC 2023","Wed Sep 20 03:52:13 UTC 2023","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Sep 20 03:21:01 UTC 2023","Wed Sep 20 03:21:24 UTC 2023","22724","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Sep 20 04:17:29 UTC 2023","Wed Sep 20 04:17:32 UTC 2023","2735","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed Sep 20 02:19:16 UTC 2023","Wed Sep 20 02:19:16 UTC 2023","61","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Sep 20 04:10:31 UTC 2023","Wed Sep 20 04:11:14 UTC 2023","42790","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Sep 20 03:20:59 UTC 2023","Wed Sep 20 03:21:01 UTC 2023","2028","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Sep 20 04:42:45 UTC 2023","Wed Sep 20 04:43:04 UTC 2023","19010","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Sep 20 04:37:29 UTC 2023","Wed Sep 20 04:37:35 UTC 2023","5348","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Sep 20 03:56:50 UTC 2023","Wed Sep 20 03:57:05 UTC 2023","15159","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Sep 20 03:24:56 UTC 2023","Wed Sep 20 03:24:56 UTC 2023","485","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Sep 20 02:32:05 UTC 2023","Wed Sep 20 02:32:30 UTC 2023","25056","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Sep 20 04:10:04 UTC 2023","Wed Sep 20 04:10:29 UTC 2023","25411","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Sep 20 02:18:43 UTC 2023","Wed Sep 20 02:19:16 UTC 2023","32510","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 20 04:34:59 UTC 2023","Wed Sep 20 04:35:09 UTC 2023","9910","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Sep 20 04:04:09 UTC 2023","Wed Sep 20 04:04:29 UTC 2023","20626","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed Sep 20 02:32:30 UTC 2023","Wed Sep 20 02:32:38 UTC 2023","8009","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Sep 20 04:00:59 UTC 2023","Wed Sep 20 04:01:22 UTC 2023","22508","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Sep 20 03:57:07 UTC 2023","Wed Sep 20 03:57:18 UTC 2023","11205","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Wed Sep 20 02:26:45 UTC 2023","Wed Sep 20 02:26:53 UTC 2023","8303","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Sep 20 02:20:33 UTC 2023","Wed Sep 20 02:20:42 UTC 2023","8814","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Sep 20 02:26:54 UTC 2023","Wed Sep 20 02:26:57 UTC 2023","3568","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 20 03:57:06 UTC 2023","Wed Sep 20 03:57:07 UTC 2023","515","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Sep 20 04:34:43 UTC 2023","Wed Sep 20 04:34:59 UTC 2023","16047","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Sep 20 04:43:54 UTC 2023","Wed Sep 20 04:43:59 UTC 2023","5201","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Sep 20 04:35:12 UTC 2023","Wed Sep 20 04:35:16 UTC 2023","4273","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Sep 20 04:17:10 UTC 2023","Wed Sep 20 04:17:23 UTC 2023","12830","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Sep 20 04:43:04 UTC 2023","Wed Sep 20 04:43:14 UTC 2023","9828","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Sep 20 03:24:22 UTC 2023","Wed Sep 20 03:24:25 UTC 2023","3261","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Wed Sep 20 04:17:32 UTC 2023","Wed Sep 20 04:17:35 UTC 2023","3272","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Sep 20 02:22:45 UTC 2023","Wed Sep 20 02:23:39 UTC 2023","53978","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Sep 20 03:24:44 UTC 2023","Wed Sep 20 03:24:53 UTC 2023","9321","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Sep 20 03:23:58 UTC 2023","Wed Sep 20 03:24:07 UTC 2023","8711","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Sep 20 04:17:23 UTC 2023","Wed Sep 20 04:17:26 UTC 2023","3157","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Sep 20 04:44:37 UTC 2023","Wed Sep 20 04:44:40 UTC 2023","3074","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Sep 20 02:19:25 UTC 2023","Wed Sep 20 02:19:34 UTC 2023","8941","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Sep 20 02:19:16 UTC 2023","Wed Sep 20 02:19:25 UTC 2023","9169","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Sep 20 04:43:14 UTC 2023","Wed Sep 20 04:43:14 UTC 2023","27","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Sep 20 02:31:54 UTC 2023","Wed Sep 20 02:32:02 UTC 2023","7454","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Sep 20 02:27:21 UTC 2023","Wed Sep 20 02:27:28 UTC 2023","6700","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed Sep 20 04:56:04 UTC 2023","Wed Sep 20 04:56:29 UTC 2023","24858","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Sep 20 04:46:19 UTC 2023","Wed Sep 20 04:47:01 UTC 2023","41771","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"skipped","Wed Sep 20 02:19:25 UTC 2023","Wed Sep 20 02:19:25 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Sep 20 03:24:07 UTC 2023","Wed Sep 20 03:24:09 UTC 2023","2269","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Wed Sep 20 02:28:57 UTC 2023","Wed Sep 20 02:29:05 UTC 2023","7860","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Sep 20 04:10:03 UTC 2023","Wed Sep 20 04:10:04 UTC 2023","1047","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Sep 20 04:43:18 UTC 2023","Wed Sep 20 04:43:49 UTC 2023","31236","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Sep 20 03:31:56 UTC 2023","Wed Sep 20 03:32:15 UTC 2023","19209","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Sep 20 03:20:12 UTC 2023","Wed Sep 20 03:20:21 UTC 2023","8619","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Wed Sep 20 04:44:40 UTC 2023","Wed Sep 20 04:46:01 UTC 2023","80989","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed Sep 20 03:57:46 UTC 2023","Wed Sep 20 03:57:48 UTC 2023","2195","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Sep 20 04:10:29 UTC 2023","Wed Sep 20 04:10:31 UTC 2023","1914","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Sep 20 03:57:18 UTC 2023","Wed Sep 20 03:57:46 UTC 2023","27401","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Sep 20 02:20:00 UTC 2023","Wed Sep 20 02:20:09 UTC 2023","9505","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Sep 20 04:40:05 UTC 2023","Wed Sep 20 04:40:31 UTC 2023","26252","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Sep 20 04:17:38 UTC 2023","Wed Sep 20 04:17:43 UTC 2023","5041","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Sep 20 04:43:49 UTC 2023","Wed Sep 20 04:43:54 UTC 2023","5194","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Sep 20 02:32:02 UTC 2023","Wed Sep 20 02:32:05 UTC 2023","3188","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 20 04:17:43 UTC 2023","Wed Sep 20 04:17:58 UTC 2023","15031","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Wed Sep 20 03:58:00 UTC 2023","Wed Sep 20 03:58:01 UTC 2023","778","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Sep 20 04:37:44 UTC 2023","Wed Sep 20 04:37:47 UTC 2023","2917","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Sep 20 02:34:42 UTC 2023","Wed Sep 20 02:34:46 UTC 2023","4162","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Sep 20 03:21:24 UTC 2023","Wed Sep 20 03:21:26 UTC 2023","2599","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Sep 20 03:57:48 UTC 2023","Wed Sep 20 03:57:49 UTC 2023","1068","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Sep 20 03:20:21 UTC 2023","Wed Sep 20 03:20:24 UTC 2023","2827","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 20 02:21:37 UTC 2023","Wed Sep 20 02:21:40 UTC 2023","2694","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Sep 20 02:34:46 UTC 2023","Wed Sep 20 02:34:47 UTC 2023","653","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Sep 20 02:26:57 UTC 2023","Wed Sep 20 02:27:14 UTC 2023","16437","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Sep 20 04:01:24 UTC 2023","Wed Sep 20 04:01:25 UTC 2023","420","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Sep 20 04:04:29 UTC 2023","Wed Sep 20 04:04:30 UTC 2023","631","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Sep 20 02:31:34 UTC 2023","Wed Sep 20 02:31:54 UTC 2023","20416","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 20 02:27:14 UTC 2023","Wed Sep 20 02:27:21 UTC 2023","7240","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Sep 20 04:43:14 UTC 2023","Wed Sep 20 04:43:18 UTC 2023","3736","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Sep 20 04:46:01 UTC 2023","Wed Sep 20 04:46:07 UTC 2023","5464","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Sep 20 04:14:15 UTC 2023","Wed Sep 20 04:15:05 UTC 2023","49889","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Sep 20 02:34:24 UTC 2023","Wed Sep 20 02:34:42 UTC 2023","17911","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Sep 20 04:56:29 UTC 2023","Wed Sep 20 04:56:31 UTC 2023","1680","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
